,title,subtitle,link
0,OL IN,Oleksandr Usyk ordered to face Joseph Parker in mandatory title defence,https://www.thesun.co.uk/sport/33827902/oleksandr-usyk-joseph-parker-daniel-dubois-rematch-wbo/
1,MISSING MISFIT,Tommy Fury's other brother loses Misfits Boxing fight just days before show,https://www.thesun.co.uk/sport/33825308/tommy-fury-brother-roman-fury-misfits-boxing-fight/
2,TITLE TILT,Joshua in line for shock world title fight if Fury snubs £300m grudge match,https://www.thesun.co.uk/sport/33823329/anthony-joshua-next-fight-tyson-fury-wbc-world-title/
3,FATHER-SON TALK,Eubank lifts lid on son's Benn egg slap after Jr explains reason in call,https://www.thesun.co.uk/sport/33822100/chris-eubank-jr-conor-benn-egg-slap-dad-reaction/
4,LAR AND ORDER,Former world champion boxer Mauricio Lara slapped with two-year boxing ban,https://www.thesun.co.uk/sport/33816676/leigh-wood-mauricio-lara-boxing-banfailing-drugs-test/
5,BACK ON TRACK,I cried after announcing my MMA retirement and got job on railway tracks,https://www.thesun.co.uk/sport/33812948/darren-stewart-cried-mma-retirement-boxing/
6,LONDON BRAWLING,Dubois in talks for rematch with Usyk at Wembley after controversial fight,https://www.thesun.co.uk/sport/33814879/daniel-dubois-rematch-oleksandr-usyk-wembley-fight/
7,BROTHERLY GLOVE,Charlie Edwards has brother back in camp after DAD wanted them to fight,https://www.thesun.co.uk/sport/33810021/charlie-edwards-brother-sunny-andrew-cain-dad-fight/
8,WRECKING BALL,Nick Ball is the Brit champ likened to Mike Tyson and tipped to fight Inoue,https://www.thesun.co.uk/sport/33808861/nick-ball-mike-tyson-fight-naoya-inoue/
9,GET THE BALL ROLLING,KSI called out by footballer who infamously knocked out Prem legend,https://www.thesun.co.uk/sport/33807420/ksi-premier-league-misfits-boxing-fight-phil-bardsley/
10,'IT'S A BIG SHADOW',Eubank Jr reveals relationship with dad has broken down completely,https://www.thesun.co.uk/sport/33803943/chris-eubank-jr-dad-relationship-broken-conor-benn/
11,EGGSPENSIVE,Eubank Jr fined £100k for slapping Benn with an egg as fans say 'worth it',https://www.thesun.co.uk/sport/33804052/chris-eubank-jr-fine-egg-slap-conor-benn/
12,LOVE & WAR,Love Island's Wil Anderson confirmed for HUGE boxing fight with BGT legend,https://www.thesun.co.uk/tvandshowbiz/33787907/love-island-wil-anderson-confirmed-fight-jordan-banjo/
13,BACK FUR GOOD,Fury could fight for WORLD TITLE in boxing return as AJ fight doubt grows,https://www.thesun.co.uk/sport/33802187/tyson-fury-retirement-anthony-joshua-fight-wbc-title/
14,MOR DRAMA,Eubank Jr and Benn pulled apart by security as tempers flare on Piers Morgan show,https://www.thesun.co.uk/sport/33798885/eubank-jr-benn-pulled-apart-security-piers-morgan/
15,SOCCER AID 2025,"CONFIRMED line-ups as Fury makes charity match debut, Rooney leads England",https://www.thesun.co.uk/sport/33781348/soccer-aid-2025-confirmed-lineups-tyson-fury-wayne-rooney/
16,RING RETURN?,Fury teases comeback at Old Trafford... but it's not what it seems,https://www.thesun.co.uk/sport/33783994/tyson-fury-retirement-comeback-anthony-joshua-fight-boxing-news/
17,WHITE NOISE,Dana White reveals details on new boxing league including weight classes change,https://www.thesun.co.uk/sport/33781762/tko-boxing-league-format-dana-white/
