,title,subtitle,link
0,TOP TRUMP,'He's got the best tattoos' - Donald Trump reveals he is a Conor McGregor fan,https://www.thesun.co.uk/sport/33824185/donald-trump-conor-mcgregor-fan-ufc-news/
1,BACK ON TRACK,I cried after announcing my MMA retirement and got job on railway tracks,https://www.thesun.co.uk/sport/33812948/darren-stewart-cried-mma-retirement-boxing/
2,'BURNS STRONG',McGregor confirms future fight plans amid major UFC return doubt,https://www.thesun.co.uk/sport/33798658/conor-mcgregor-next-fight-ufc-return/
3,DRAKING BAD,Stunning '10/10' UFC interviewer dubbed 'new Drake' after 'cursing' MMA star,https://www.thesun.co.uk/sport/33800466/ufc-nina-marie-daniele-volkanovski/
4,IT'S TIME,'Biggest fight in UFC history' on verge of being announced by Dana White,https://www.thesun.co.uk/sport/33800107/jon-jones-tom-aspinall-date-dana-white-ufc-news/
5,WHITE NOISE,Dana White gives brutal response to working with rivals Bob Arum and De la Hoya,https://www.thesun.co.uk/sport/33760033/dana-white-bob-arum-de-la-hoya-ufc-boxing/
6,DAN AND OUT,Hearn jokes he is 'totally finished' after UFC boss Dana White enters boxing,https://www.thesun.co.uk/sport/33759366/eddie-hearn-totally-finished-ufc-dana-white-boxing/
7,RUFF AS NAILS,Ruffy's devastating head-kick at UFC 313 'one of the greatest KOs in history',https://www.thesun.co.uk/sport/33758686/ruffy-green-head-kick-ko-ufc-313/
8,UFC 313,"Latest as Magomed Ankalaev BEATS Alex Pereia to claim title, plus Gaethje WINS",https://www.thesun.co.uk/sport/33755936/ufc-313-live-results-alex-pereira-magomed-ankalaev-card-updates/
9,WALK THE LINE,"Match of the Day legend, 87, 'surprised' by BBC's Gary Lineker replacements",https://www.thesun.co.uk/sport/33740467/gary-lineker-match-of-day-replacements-barry-davies/
10,'THE PLAN',Dana White reveals timeline for 'biggest fight in UFC history' and shock prize,https://www.thesun.co.uk/sport/33716400/dana-white-jon-jones-tom-aspinall-date-ufc-news/
11,DILL BREAKER,KSI reveals penalties in Danis' contract to stop him doing MMA moves in ring,https://www.thesun.co.uk/sport/33697898/ksi-penalties-dillon-danis-contract-mma/
12,CON THE MOVE?,McGregor teases big career change after Dana White casts UFC return doubt,https://www.thesun.co.uk/sport/33656162/conor-mcgregor-next-fight-dana-white-ufc-bkfc/
13,HALL TO PLAY FOR,Eddie Hall reveals next fight with strongman rivals weighing combined 44st,https://www.thesun.co.uk/sport/33656033/eddie-hall-next-fight-mariusz-pudzianowski-strongman/
14,'DEVASTATING',"Martial arts champion, 21, dies after horror collapse in ring",https://www.thesun.co.uk/sport/33572950/martial-arts-champion-dies-collapse-ring-india/
15,NOTORIOUS,UFC's stance on Conor McGregor's return revealed after Dana White casts doubt,https://www.thesun.co.uk/sport/33553649/conor-mcgregor-next-fight-dana-white-ufc-news/
16,WHITE NOISE,Dana White tipped to imminently announce 'biggest fight in UFC history',https://www.thesun.co.uk/sport/33530527/dana-white-jon-jones-tom-aspinall-fight-announcement-ufc/
17,GRAPHIC SCENE,UFC star left motionless on canvas with eyes glaring open after sickening KO,https://www.thesun.co.uk/sport/33523153/ufc-sickening-ko-ricky-simon-javid-basharat/
